lessonIdx|line|kanji|hiragana|hon|book
132|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
132|3|どれですか|どれですか|Dore desu ka.|Which one?
132|4||||
132|5||||
133|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
133|2|どれですか|どれですか|Dore desu ka.|Which one?
133|3||||
133|4||||
133|5||||
134|1|答えてください。|答えてください。|Answer please|Answer please
134|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
134|3|どれですか|どれですか|Dore desu ka.|Which one?
134|4|これです。|これです。|Kore desu.|This one.
134|5||||
135|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
135|2|これです。|これです。|Kore desu.|This one.
135|3||||
135|4||||
135|5||||
136|1|言って下さい。|言って下さい。|Say it, please|Say it, please
136|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
136|3|どれですか|どれですか|Dore desu ka.|Which one?
136|4|これです。|これです。|Kore desu.|This one.
136|5|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
137|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
137|2|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
137|3||||
137|4||||
137|5||||
138|1|答えてください。|答えてください。|Answer please|Answer please
138|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
138|3|どれですか|どれですか|Dore desu ka.|Which one?
138|4|これです。|これです。|Kore desu.|This one.
138|5|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
139|1|言って下さい。|言って下さい。|Say it, please|Say it, please
139|2|地図|ちず|chizu|map
139|3||||
139|4||||
139|5||||
140|1|言って下さい。|言って下さい。|Say it, please|Say it, please
140|2|切手|きって|kitte|stamp
140|3||||
140|4||||
140|5||||
141|1|言って下さい。|言って下さい。|Say it, please|Say it, please
141|2|かぎ|かぎ|kagi|key
141|3||||
141|4||||
141|5||||
142|1|言って下さい。|言って下さい。|Say it, please|Say it, please
142|2||||
142|3||||
142|4||||
142|5||||
143|1|答えてください。|答えてください。|Answer please|Answer please
143|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
143|3|どれですか|どれですか|Dore desu ka.|Which one?
143|4|これです。|これです。|Kore desu.|This one.
143|5|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
144|1|答えてください。|答えてください。|Answer please|Answer please
144|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
144|3|どれですか|どれですか|Dore desu ka.|Which one?
144|4|これです。|これです。|Kore desu.|This one.
144|5|これは地図です。|これはちずです。|Kore wa chizu desu.|This is a map.
145|1|答えてください。|答えてください。|Answer please|Answer please
145|2|それは何ですか。|それはなんですか。|Sore wa nan desu ka.|What is that?
145|3|どれですか|どれですか|Dore desu ka.|Which one?
145|4|これです。|これです。|Kore desu.|This one.
145|5|これは切手です。|これきってです。|Kore wa kitte desu.|This is a stamp.
146|1|答えてください。|答えてください。|Answer please|Answer please
146|2||||
146|3||||
146|4||||
146|5||||
147|20||||
